"Notes"	"Age"	"Age Code"	"State"	"State Code"	"Gender"	"Gender Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"< 1 year"	"0"	"Alabama"	"01"	"Female"	"F"	"1996"	"1996"	27966
	"< 1 year"	"0"	"Alabama"	"01"	"Female"	"F"	"1997"	"1997"	28472
	"< 1 year"	"0"	"Alabama"	"01"	"Female"	"F"	"1998"	"1998"	28467
	"< 1 year"	"0"	"Alabama"	"01"	"Female"	"F"	"1999"	"1999"	28712
	"< 1 year"	"0"	"Alabama"	"01"	"Female"	"F"	"2000"	"2000"	29143
	"< 1 year"	"0"	"Alabama"	"01"	"Male"	"M"	"1996"	"1996"	29405
	"< 1 year"	"0"	"Alabama"	"01"	"Male"	"M"	"1997"	"1997"	29887
	"< 1 year"	"0"	"Alabama"	"01"	"Male"	"M"	"1998"	"1998"	29910
	"< 1 year"	"0"	"Alabama"	"01"	"Male"	"M"	"1999"	"1999"	30075
	"< 1 year"	"0"	"Alabama"	"01"	"Male"	"M"	"2000"	"2000"	30474
	"< 1 year"	"0"	"Alaska"	"02"	"Female"	"F"	"1996"	"1996"	4512
	"< 1 year"	"0"	"Alaska"	"02"	"Female"	"F"	"1997"	"1997"	4492
	"< 1 year"	"0"	"Alaska"	"02"	"Female"	"F"	"1998"	"1998"	4474
	"< 1 year"	"0"	"Alaska"	"02"	"Female"	"F"	"1999"	"1999"	4427
	"< 1 year"	"0"	"Alaska"	"02"	"Female"	"F"	"2000"	"2000"	4509
	"< 1 year"	"0"	"Alaska"	"02"	"Male"	"M"	"1996"	"1996"	4863
	"< 1 year"	"0"	"Alaska"	"02"	"Male"	"M"	"1997"	"1997"	4893
	"< 1 year"	"0"	"Alaska"	"02"	"Male"	"M"	"1998"	"1998"	4881
	"< 1 year"	"0"	"Alaska"	"02"	"Male"	"M"	"1999"	"1999"	4838
	"< 1 year"	"0"	"Alaska"	"02"	"Male"	"M"	"2000"	"2000"	4936
	"< 1 year"	"0"	"Arizona"	"04"	"Female"	"F"	"1996"	"1996"	35420
	"< 1 year"	"0"	"Arizona"	"04"	"Female"	"F"	"1997"	"1997"	35558
	"< 1 year"	"0"	"Arizona"	"04"	"Female"	"F"	"1998"	"1998"	36786
	"< 1 year"	"0"	"Arizona"	"04"	"Female"	"F"	"1999"	"1999"	37892
	"< 1 year"	"0"	"Arizona"	"04"	"Female"	"F"	"2000"	"2000"	38604
	"< 1 year"	"0"	"Arizona"	"04"	"Male"	"M"	"1996"	"1996"	37001
	"< 1 year"	"0"	"Arizona"	"04"	"Male"	"M"	"1997"	"1997"	37137
	"< 1 year"	"0"	"Arizona"	"04"	"Male"	"M"	"1998"	"1998"	38549
	"< 1 year"	"0"	"Arizona"	"04"	"Male"	"M"	"1999"	"1999"	39614
	"< 1 year"	"0"	"Arizona"	"04"	"Male"	"M"	"2000"	"2000"	40362
	"< 1 year"	"0"	"Arkansas"	"05"	"Female"	"F"	"1996"	"1996"	17219
