"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"< 1 year"	"0"	"Female"	"F"	"2001"	"2001"	12091	1962905	616.0
	"< 1 year"	"0"	"Female"	"F"	"2002"	"2002"	12317	1932939	637.2
	"< 1 year"	"0"	"Female"	"F"	"2003"	"2003"	12123	1942634	624.0
	"< 1 year"	"0"	"Female"	"F"	"2004"	"2004"	12218	1962216	622.7
	"< 1 year"	"0"	"Female"	"F"	"2005"	"2005"	12422	1956682	634.9
	"< 1 year"	"0"	"Female"	"F"	"2006"	"2006"	12547	1975919	635.0
	"< 1 year"	"0"	"Female"	"F"	"2007"	"2007"	12845	2027181	633.6
	"< 1 year"	"0"	"Female"	"F"	"2008"	"2008"	12390	2022889	612.5
	"< 1 year"	"0"	"Female"	"F"	"2009"	"2009"	11589	1959169	591.5
	"< 1 year"	"0"	"Female"	"F"	"2010"	"2010"	10884	1929877	564.0
	"< 1 year"	"0"	"Female"	"F"	"2011"	"2011"	10658	1952827	545.8
	"< 1 year"	"0"	"Female"	"F"	"2012"	"2012"	10490	1926339	544.6
	"< 1 year"	"0"	"Female"	"F"	"2013"	"2013"	10321	1925056	536.1
	"< 1 year"	"0"	"Female"	"F"	"2014"	"2014"	10329	1930493	535.0
	"< 1 year"	"0"	"Female"	"F"	"2015"	"2015"	10447	1942904	537.7
	"< 1 year"	"0"	"Female"	"F"	"2016"	"2016"	10294	1939667	530.7
	"< 1 year"	"0"	"Female"	"F"	"2017"	"2017"	9867	1924145	512.8
	"< 1 year"	"0"	"Female"	"F"	"2018"	"2018"	9399	1879703	500.0
	"< 1 year"	"0"	"Female"	"F"	"2019"	"2019"	9247	1847935	500.4
	"< 1 year"	"0"	"Female"	"F"	"2020 "	"2020"	8723	1826869	477.5
	"< 1 year"	"0"	"Male"	"M"	"2001"	"2001"	15477	2049753	755.1
	"< 1 year"	"0"	"Male"	"M"	"2002"	"2002"	15717	2018522	778.6
	"< 1 year"	"0"	"Male"	"M"	"2003"	"2003"	15902	2033237	782.1
	"< 1 year"	"0"	"Male"	"M"	"2004"	"2004"	15718	2052042	766.0
	"< 1 year"	"0"	"Male"	"M"	"2005"	"2005"	16018	2047711	782.2
	"< 1 year"	"0"	"Male"	"M"	"2006"	"2006"	15980	2065819	773.5
	"< 1 year"	"0"	"Male"	"M"	"2007"	"2007"	16293	2120816	768.2
	"< 1 year"	"0"	"Male"	"M"	"2008"	"2008"	15669	2109846	742.7
	"< 1 year"	"0"	"Male"	"M"	"2009"	"2009"	14823	2044418	725.0
	"< 1 year"	"0"	"Male"	"M"	"2010"	"2010"	13702	2014276	680.2
	"< 1 year"	"0"	"Male"	"M"	"2011"	"2011"	13327	2043710	652.1
	"< 1 year"	"0"	"Male"	"M"	"2012"	"2012"	13139	2016738	651.5
	"< 1 year"	"0"	"Male"	"M"	"2013"	"2013"	13119	2016727	650.5
	"< 1 year"	"0"	"Male"	"M"	"2014"	"2014"	12886	2017857	638.6
	"< 1 year"	"0"	"Male"	"M"	"2015"	"2015"	13008	2035134	639.2
	"< 1 year"	"0"	"Male"	"M"	"2016"	"2016"	12867	2030478	633.7
	"< 1 year"	"0"	"Male"	"M"	"2017"	"2017"	12468	2015150	618.7
	"< 1 year"	"0"	"Male"	"M"	"2018"	"2018"	12068	1968505	613.1
	"< 1 year"	"0"	"Male"	"M"	"2019"	"2019"	11674	1935117	603.3
	"< 1 year"	"0"	"Male"	"M"	"2020 "	"2020"	10859	1908141	569.1
	"1 year"	"1"	"Female"	"F"	"2001"	"2001"	891	1882601	47.3
	"1 year"	"1"	"Female"	"F"	"2002"	"2002"	827	1960195	42.2
	"1 year"	"1"	"Female"	"F"	"2003"	"2003"	804	1926719	41.7
	"1 year"	"1"	"Female"	"F"	"2004"	"2004"	908	1932894	47.0
	"1 year"	"1"	"Female"	"F"	"2005"	"2005"	827	1950494	42.4
	"1 year"	"1"	"Female"	"F"	"2006"	"2006"	866	1942541	44.6
	"1 year"	"1"	"Female"	"F"	"2007"	"2007"	884	1958096	45.1
	"1 year"	"1"	"Female"	"F"	"2008"	"2008"	866	2005602	43.2
	"1 year"	"1"	"Female"	"F"	"2009"	"2009"	776	1997919	38.8
	"1 year"	"1"	"Female"	"F"	"2010"	"2010"	806	1947217	41.4
	"1 year"	"1"	"Female"	"F"	"2011"	"2011"	754	1941933	38.8
	"1 year"	"1"	"Female"	"F"	"2012"	"2012"	727	1946097	37.4
	"1 year"	"1"	"Female"	"F"	"2013"	"2013"	728	1933929	37.6
	"1 year"	"1"	"Female"	"F"	"2014"	"2014"	663	1938870	34.2
	"1 year"	"1"	"Female"	"F"	"2015"	"2015"	678	1939269	35.0
	"1 year"	"1"	"Female"	"F"	"2016"	"2016"	694	1953850	35.5
	"1 year"	"1"	"Female"	"F"	"2017"	"2017"	658	1943534	33.9
	"1 year"	"1"	"Female"	"F"	"2018"	"2018"	617	1911513	32.3
	"1 year"	"1"	"Female"	"F"	"2019"	"2019"	649	1871014	34.7
	"1 year"	"1"	"Female"	"F"	"2020 "	"2020"	579	1847230	31.3
	"1 year"	"1"	"Male"	"M"	"2001"	"2001"	1111	1972806	56.3
	"1 year"	"1"	"Male"	"M"	"2002"	"2002"	1083	2044479	53.0
	"1 year"	"1"	"Male"	"M"	"2003"	"2003"	1060	2009420	52.8
