"Notes"	"Age"	"Age Code"	"State"	"State Code"	"Gender"	"Gender Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"< 1 year"	"0"	"Alabama"	"01"	"Female"	"F"	"2006"	"2006"	29848
	"< 1 year"	"0"	"Alabama"	"01"	"Female"	"F"	"2007"	"2007"	30948
	"< 1 year"	"0"	"Alabama"	"01"	"Female"	"F"	"2008"	"2008"	31542
	"< 1 year"	"0"	"Alabama"	"01"	"Female"	"F"	"2009"	"2009"	30462
	"< 1 year"	"0"	"Alabama"	"01"	"Female"	"F"	"2010"	"2010"	29108
	"< 1 year"	"0"	"Alabama"	"01"	"Male"	"M"	"2006"	"2006"	30975
	"< 1 year"	"0"	"Alabama"	"01"	"Male"	"M"	"2007"	"2007"	31959
	"< 1 year"	"0"	"Alabama"	"01"	"Male"	"M"	"2008"	"2008"	32274
	"< 1 year"	"0"	"Alabama"	"01"	"Male"	"M"	"2009"	"2009"	31331
	"< 1 year"	"0"	"Alabama"	"01"	"Male"	"M"	"2010"	"2010"	30140
	"< 1 year"	"0"	"Alaska"	"02"	"Female"	"F"	"2006"	"2006"	4798
	"< 1 year"	"0"	"Alaska"	"02"	"Female"	"F"	"2007"	"2007"	5143
	"< 1 year"	"0"	"Alaska"	"02"	"Female"	"F"	"2008"	"2008"	5188
	"< 1 year"	"0"	"Alaska"	"02"	"Female"	"F"	"2009"	"2009"	5341
	"< 1 year"	"0"	"Alaska"	"02"	"Female"	"F"	"2010"	"2010"	5398
	"< 1 year"	"0"	"Alaska"	"02"	"Male"	"M"	"2006"	"2006"	5417
	"< 1 year"	"0"	"Alaska"	"02"	"Male"	"M"	"2007"	"2007"	5507
	"< 1 year"	"0"	"Alaska"	"02"	"Male"	"M"	"2008"	"2008"	5627
	"< 1 year"	"0"	"Alaska"	"02"	"Male"	"M"	"2009"	"2009"	5735
	"< 1 year"	"0"	"Alaska"	"02"	"Male"	"M"	"2010"	"2010"	5652
	"< 1 year"	"0"	"Arizona"	"04"	"Female"	"F"	"2006"	"2006"	45911
	"< 1 year"	"0"	"Arizona"	"04"	"Female"	"F"	"2007"	"2007"	47183
	"< 1 year"	"0"	"Arizona"	"04"	"Female"	"F"	"2008"	"2008"	46978
	"< 1 year"	"0"	"Arizona"	"04"	"Female"	"F"	"2009"	"2009"	42389
	"< 1 year"	"0"	"Arizona"	"04"	"Female"	"F"	"2010"	"2010"	42430
	"< 1 year"	"0"	"Arizona"	"04"	"Male"	"M"	"2006"	"2006"	48290
	"< 1 year"	"0"	"Arizona"	"04"	"Male"	"M"	"2007"	"2007"	48994
	"< 1 year"	"0"	"Arizona"	"04"	"Male"	"M"	"2008"	"2008"	48598
	"< 1 year"	"0"	"Arizona"	"04"	"Male"	"M"	"2009"	"2009"	44096
	"< 1 year"	"0"	"Arizona"	"04"	"Male"	"M"	"2010"	"2010"	44237
	"< 1 year"	"0"	"Arkansas"	"05"	"Female"	"F"	"2006"	"2006"	19226
	"< 1 year"	"0"	"Arkansas"	"05"	"Female"	"F"	"2007"	"2007"	19644
	"< 1 year"	"0"	"Arkansas"	"05"	"Female"	"F"	"2008"	"2008"	19924
	"< 1 year"	"0"	"Arkansas"	"05"	"Female"	"F"	"2009"	"2009"	19025
	"< 1 year"	"0"	"Arkansas"	"05"	"Female"	"F"	"2010"	"2010"	18626
	"< 1 year"	"0"	"Arkansas"	"05"	"Male"	"M"	"2006"	"2006"	20296
	"< 1 year"	"0"	"Arkansas"	"05"	"Male"	"M"	"2007"	"2007"	20886
	"< 1 year"	"0"	"Arkansas"	"05"	"Male"	"M"	"2008"	"2008"	20860
	"< 1 year"	"0"	"Arkansas"	"05"	"Male"	"M"	"2009"	"2009"	19937
	"< 1 year"	"0"	"Arkansas"	"05"	"Male"	"M"	"2010"	"2010"	19610
	"< 1 year"	"0"	"California"	"06"	"Female"	"F"	"2006"	"2006"	254741
	"< 1 year"	"0"	"California"	"06"	"Female"	"F"	"2007"	"2007"	257778
	"< 1 year"	"0"	"California"	"06"	"Female"	"F"	"2008"	"2008"	258852
	"< 1 year"	"0"	"California"	"06"	"Female"	"F"	"2009"	"2009"	244142
	"< 1 year"	"0"	"California"	"06"	"Female"	"F"	"2010"	"2010"	242623
	"< 1 year"	"0"	"California"	"06"	"Male"	"M"	"2006"	"2006"	265448
	"< 1 year"	"0"	"California"	"06"	"Male"	"M"	"2007"	"2007"	269455
	"< 1 year"	"0"	"California"	"06"	"Male"	"M"	"2008"	"2008"	270564
	"< 1 year"	"0"	"California"	"06"	"Male"	"M"	"2009"	"2009"	254879
	"< 1 year"	"0"	"California"	"06"	"Male"	"M"	"2010"	"2010"	253124
	"< 1 year"	"0"	"Colorado"	"08"	"Female"	"F"	"2006"	"2006"	32915
	"< 1 year"	"0"	"Colorado"	"08"	"Female"	"F"	"2007"	"2007"	33481
	"< 1 year"	"0"	"Colorado"	"08"	"Female"	"F"	"2008"	"2008"	32641
	"< 1 year"	"0"	"Colorado"	"08"	"Female"	"F"	"2009"	"2009"	32094
	"< 1 year"	"0"	"Colorado"	"08"	"Female"	"F"	"2010"	"2010"	32696
	"< 1 year"	"0"	"Colorado"	"08"	"Male"	"M"	"2006"	"2006"	34541
	"< 1 year"	"0"	"Colorado"	"08"	"Male"	"M"	"2007"	"2007"	35314
	"< 1 year"	"0"	"Colorado"	"08"	"Male"	"M"	"2008"	"2008"	34722
	"< 1 year"	"0"	"Colorado"	"08"	"Male"	"M"	"2009"	"2009"	34131
	"< 1 year"	"0"	"Colorado"	"08"	"Male"	"M"	"2010"	"2010"	34239
	"< 1 year"	"0"	"Connecticut"	"09"	"Female"	"F"	"2006"	"2006"	19400
	"< 1 year"	"0"	"Connecticut"	"09"	"Female"	"F"	"2007"	"2007"	19787
	"< 1 year"	"0"	"Connecticut"	"09"	"Female"	"F"	"2008"	"2008"	19197
	"< 1 year"	"0"	"Connecticut"	"09"	"Female"	"F"	"2009"	"2009"	18774
	"< 1 year"	"0"	"Connecticut"	"09"	"Female"	"F"	"2010"	"2010"	18556
	"< 1 year"	"0"	"Connecticut"	"09"	"Male"	"M"	"2006"	"2006"	20708
	"< 1 year"	"0"	"Connecticut"	"09"	"Male"	"M"	"2007"	"2007"	20792
	"< 1 year"	"0"	"Connecticut"	"09"	"Male"	"M"	"2008"	"2008"	20302
	"< 1 year"	"0"	"Connecticut"	"09"	"Male"	"M"	"2009"	"2009"	19633
	"< 1 year"	"0"	"Connecticut"	"09"	"Male"	"M"	"2010"	"2010"	19523
	"< 1 year"	"0"	"Delaware"	"10"	"Female"	"F"	"2006"	"2006"	5573
	"< 1 year"	"0"	"Delaware"	"10"	"Female"	"F"	"2007"	"2007"	5829
	"< 1 year"	"0"	"Delaware"	"10"	"Female"	"F"	"2008"	"2008"	5686
	"< 1 year"	"0"	"Delaware"	"10"	"Female"	"F"	"2009"	"2009"	5418
	"< 1 year"	"0"	"Delaware"	"10"	"Female"	"F"	"2010"	"2010"	5384
	"< 1 year"	"0"	"Delaware"	"10"	"Male"	"M"	"2006"	"2006"	5701
	"< 1 year"	"0"	"Delaware"	"10"	"Male"	"M"	"2007"	"2007"	5790
	"< 1 year"	"0"	"Delaware"	"10"	"Male"	"M"	"2008"	"2008"	5834
	"< 1 year"	"0"	"Delaware"	"10"	"Male"	"M"	"2009"	"2009"	5698
	"< 1 year"	"0"	"Delaware"	"10"	"Male"	"M"	"2010"	"2010"	5616
	"< 1 year"	"0"	"District of Columbia"	"11"	"Female"	"F"	"2006"	"2006"	3661
	"< 1 year"	"0"	"District of Columbia"	"11"	"Female"	"F"	"2007"	"2007"	3735
	"< 1 year"	"0"	"District of Columbia"	"11"	"Female"	"F"	"2008"	"2008"	3852
	"< 1 year"	"0"	"District of Columbia"	"11"	"Female"	"F"	"2009"	"2009"	3631
	"< 1 year"	"0"	"District of Columbia"	"11"	"Female"	"F"	"2010"	"2010"	3734
	"< 1 year"	"0"	"District of Columbia"	"11"	"Male"	"M"	"2006"	"2006"	3660
	"< 1 year"	"0"	"District of Columbia"	"11"	"Male"	"M"	"2007"	"2007"	4000
	"< 1 year"	"0"	"District of Columbia"	"11"	"Male"	"M"	"2008"	"2008"	4036
	"< 1 year"	"0"	"District of Columbia"	"11"	"Male"	"M"	"2009"	"2009"	3884
	"< 1 year"	"0"	"District of Columbia"	"11"	"Male"	"M"	"2010"	"2010"	3870
	"< 1 year"	"0"	"Florida"	"12"	"Female"	"F"	"2006"	"2006"	108651
	"< 1 year"	"0"	"Florida"	"12"	"Female"	"F"	"2007"	"2007"	110166
	"< 1 year"	"0"	"Florida"	"12"	"Female"	"F"	"2008"	"2008"	108930
	"< 1 year"	"0"	"Florida"	"12"	"Female"	"F"	"2009"	"2009"	103697
	"< 1 year"	"0"	"Florida"	"12"	"Female"	"F"	"2010"	"2010"	101976
	"< 1 year"	"0"	"Florida"	"12"	"Male"	"M"	"2006"	"2006"	113114
	"< 1 year"	"0"	"Florida"	"12"	"Male"	"M"	"2007"	"2007"	114651
	"< 1 year"	"0"	"Florida"	"12"	"Male"	"M"	"2008"	"2008"	113221
	"< 1 year"	"0"	"Florida"	"12"	"Male"	"M"	"2009"	"2009"	107673
	"< 1 year"	"0"	"Florida"	"12"	"Male"	"M"	"2010"	"2010"	105998
	"< 1 year"	"0"	"Georgia"	"13"	"Female"	"F"	"2006"	"2006"	68138
	"< 1 year"	"0"	"Georgia"	"13"	"Female"	"F"	"2007"	"2007"	70784
	"< 1 year"	"0"	"Georgia"	"13"	"Female"	"F"	"2008"	"2008"	69812
	"< 1 year"	"0"	"Georgia"	"13"	"Female"	"F"	"2009"	"2009"	65679
	"< 1 year"	"0"	"Georgia"	"13"	"Female"	"F"	"2010"	"2010"	64934
