"Notes"	"States"	"States Code"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"Alabama"	"01"	"< 1 year"	"0"	"Female"	"F"	"2016"	"2016"	29093
	"Alabama"	"01"	"< 1 year"	"0"	"Female"	"F"	"2017"	"2017"	28391
	"Alabama"	"01"	"< 1 year"	"0"	"Female"	"F"	"2018"	"2018"	28404
	"Alabama"	"01"	"< 1 year"	"0"	"Female"	"F"	"2019"	"2019"	27728
	"Alabama"	"01"	"< 1 year"	"0"	"Female"	"F"	"2020"	"2020"	27547
	"Alabama"	"01"	"< 1 year"	"0"	"Male"	"M"	"2016"	"2016"	30039
	"Alabama"	"01"	"< 1 year"	"0"	"Male"	"M"	"2017"	"2017"	29733
	"Alabama"	"01"	"< 1 year"	"0"	"Male"	"M"	"2018"	"2018"	29842
	"Alabama"	"01"	"< 1 year"	"0"	"Male"	"M"	"2019"	"2019"	29079
	"Alabama"	"01"	"< 1 year"	"0"	"Male"	"M"	"2020"	"2020"	28699
	"Alabama"	"01"	"1 year"	"1"	"Female"	"F"	"2016"	"2016"	29284
	"Alabama"	"01"	"1 year"	"1"	"Female"	"F"	"2017"	"2017"	29205
	"Alabama"	"01"	"1 year"	"1"	"Female"	"F"	"2018"	"2018"	28471
	"Alabama"	"01"	"1 year"	"1"	"Female"	"F"	"2019"	"2019"	28624
	"Alabama"	"01"	"1 year"	"1"	"Female"	"F"	"2020"	"2020"	27979
	"Alabama"	"01"	"1 year"	"1"	"Male"	"M"	"2016"	"2016"	30144
	"Alabama"	"01"	"1 year"	"1"	"Male"	"M"	"2017"	"2017"	30105
	"Alabama"	"01"	"1 year"	"1"	"Male"	"M"	"2018"	"2018"	29793
	"Alabama"	"01"	"1 year"	"1"	"Male"	"M"	"2019"	"2019"	29975
	"Alabama"	"01"	"1 year"	"1"	"Male"	"M"	"2020"	"2020"	29356
	"Alabama"	"01"	"2 years"	"2"	"Female"	"F"	"2016"	"2016"	28915
	"Alabama"	"01"	"2 years"	"2"	"Female"	"F"	"2017"	"2017"	29451
	"Alabama"	"01"	"2 years"	"2"	"Female"	"F"	"2018"	"2018"	29339
	"Alabama"	"01"	"2 years"	"2"	"Female"	"F"	"2019"	"2019"	28691
	"Alabama"	"01"	"2 years"	"2"	"Female"	"F"	"2020"	"2020"	28847
	"Alabama"	"01"	"2 years"	"2"	"Male"	"M"	"2016"	"2016"	30062
	"Alabama"	"01"	"2 years"	"2"	"Male"	"M"	"2017"	"2017"	30305
	"Alabama"	"01"	"2 years"	"2"	"Male"	"M"	"2018"	"2018"	30358
	"Alabama"	"01"	"2 years"	"2"	"Male"	"M"	"2019"	"2019"	29944
	"Alabama"	"01"	"2 years"	"2"	"Male"	"M"	"2020"	"2020"	30169
