"Notes"	"Age"	"Age Code"	"State"	"State Code"	"Gender"	"Gender Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"< 1 year"	"0"	"Alabama"	"01"	"Female"	"F"	"2001"	"2001"	30131
	"< 1 year"	"0"	"Alabama"	"01"	"Female"	"F"	"2002"	"2002"	29134
	"< 1 year"	"0"	"Alabama"	"01"	"Female"	"F"	"2003"	"2003"	28339
	"< 1 year"	"0"	"Alabama"	"01"	"Female"	"F"	"2004"	"2004"	29033
	"< 1 year"	"0"	"Alabama"	"01"	"Female"	"F"	"2005"	"2005"	29212
	"< 1 year"	"0"	"Alabama"	"01"	"Male"	"M"	"2001"	"2001"	31406
	"< 1 year"	"0"	"Alabama"	"01"	"Male"	"M"	"2002"	"2002"	29829
	"< 1 year"	"0"	"Alabama"	"01"	"Male"	"M"	"2003"	"2003"	29682
	"< 1 year"	"0"	"Alabama"	"01"	"Male"	"M"	"2004"	"2004"	29894
	"< 1 year"	"0"	"Alabama"	"01"	"Male"	"M"	"2005"	"2005"	30212
	"< 1 year"	"0"	"Alaska"	"02"	"Female"	"F"	"2001"	"2001"	4696
	"< 1 year"	"0"	"Alaska"	"02"	"Female"	"F"	"2002"	"2002"	4748
	"< 1 year"	"0"	"Alaska"	"02"	"Female"	"F"	"2003"	"2003"	4746
	"< 1 year"	"0"	"Alaska"	"02"	"Female"	"F"	"2004"	"2004"	4876
	"< 1 year"	"0"	"Alaska"	"02"	"Female"	"F"	"2005"	"2005"	4891
	"< 1 year"	"0"	"Alaska"	"02"	"Male"	"M"	"2001"	"2001"	5130
	"< 1 year"	"0"	"Alaska"	"02"	"Male"	"M"	"2002"	"2002"	4947
	"< 1 year"	"0"	"Alaska"	"02"	"Male"	"M"	"2003"	"2003"	5084
	"< 1 year"	"0"	"Alaska"	"02"	"Male"	"M"	"2004"	"2004"	5083
	"< 1 year"	"0"	"Alaska"	"02"	"Male"	"M"	"2005"	"2005"	5306
	"< 1 year"	"0"	"Arizona"	"04"	"Female"	"F"	"2001"	"2001"	41474
	"< 1 year"	"0"	"Arizona"	"04"	"Female"	"F"	"2002"	"2002"	41732
	"< 1 year"	"0"	"Arizona"	"04"	"Female"	"F"	"2003"	"2003"	42675
	"< 1 year"	"0"	"Arizona"	"04"	"Female"	"F"	"2004"	"2004"	43612
	"< 1 year"	"0"	"Arizona"	"04"	"Female"	"F"	"2005"	"2005"	45779
	"< 1 year"	"0"	"Arizona"	"04"	"Male"	"M"	"2001"	"2001"	43247
