"Notes"	"Single-Year Ages"	"Single-Year Ages Code"	"Gender"	"Gender Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	Population
	"< 1 year"	"0"	"Female"	"F"	"2011"	"2011"	1934746
	"< 1 year"	"0"	"Female"	"F"	"2012"	"2012"	1918905
	"< 1 year"	"0"	"Female"	"F"	"2013"	"2013"	1921621
	"< 1 year"	"0"	"Female"	"F"	"2014"	"2014"	1930369
	"< 1 year"	"0"	"Female"	"F"	"2015"	"2015"	1946416
	"< 1 year"	"0"	"Female"	"F"	"2016"	"2016"	1937196
	"< 1 year"	"0"	"Female"	"F"	"2017"	"2017"	1896804
	"< 1 year"	"0"	"Female"	"F"	"2018"	"2018"	1871130
	"< 1 year"	"0"	"Female"	"F"	"2019"	"2019"	1841226
	"< 1 year"	"0"	"Female"	"F"	"2020"	"2020"	1826869
	"< 1 year"	"0"	"Male"	"M"	"2011"	"2011"	2028518
	"< 1 year"	"0"	"Male"	"M"	"2012"	"2012"	2007826
	"< 1 year"	"0"	"Male"	"M"	"2013"	"2013"	2009790
	"< 1 year"	"0"	"Male"	"M"	"2014"	"2014"	2024604
	"< 1 year"	"0"	"Male"	"M"	"2015"	"2015"	2037728
	"< 1 year"	"0"	"Male"	"M"	"2016"	"2016"	2026072
	"< 1 year"	"0"	"Male"	"M"	"2017"	"2017"	1985633
	"< 1 year"	"0"	"Male"	"M"	"2018"	"2018"	1955778
	"< 1 year"	"0"	"Male"	"M"	"2019"	"2019"	1921001
	"< 1 year"	"0"	"Male"	"M"	"2020"	"2020"	1908141
	"1 year"	"1"	"Female"	"F"	"2011"	"2011"	1941203
	"1 year"	"1"	"Female"	"F"	"2012"	"2012"	1942663
	"1 year"	"1"	"Female"	"F"	"2013"	"2013"	1927304
	"1 year"	"1"	"Female"	"F"	"2014"	"2014"	1930724
	"1 year"	"1"	"Female"	"F"	"2015"	"2015"	1939791
	"1 year"	"1"	"Female"	"F"	"2016"	"2016"	1956316
	"1 year"	"1"	"Female"	"F"	"2017"	"2017"	1946614
	"1 year"	"1"	"Female"	"F"	"2018"	"2018"	1904650
	"1 year"	"1"	"Female"	"F"	"2019"	"2019"	1878996
	"1 year"	"1"	"Female"	"F"	"2020"	"2020"	1847230
	"1 year"	"1"	"Male"	"M"	"2011"	"2011"	2025565
	"1 year"	"1"	"Male"	"M"	"2012"	"2012"	2035547
	"1 year"	"1"	"Male"	"M"	"2013"	"2013"	2016044
	"1 year"	"1"	"Male"	"M"	"2014"	"2014"	2018835
	"1 year"	"1"	"Male"	"M"	"2015"	"2015"	2034037
	"1 year"	"1"	"Male"	"M"	"2016"	"2016"	2047270
	"1 year"	"1"	"Male"	"M"	"2017"	"2017"	2035250
	"1 year"	"1"	"Male"	"M"	"2018"	"2018"	1993267
	"1 year"	"1"	"Male"	"M"	"2019"	"2019"	1963261
	"1 year"	"1"	"Male"	"M"	"2020"	"2020"	1926654
	"2 years"	"2"	"Female"	"F"	"2011"	"2011"	1944673
	"2 years"	"2"	"Female"	"F"	"2012"	"2012"	1948161
	"2 years"	"2"	"Female"	"F"	"2013"	"2013"	1950116
	"2 years"	"2"	"Female"	"F"	"2014"	"2014"	1935600
	"2 years"	"2"	"Female"	"F"	"2015"	"2015"	1939544
	"2 years"	"2"	"Female"	"F"	"2016"	"2016"	1949179
	"2 years"	"2"	"Female"	"F"	"2017"	"2017"	1965193
	"2 years"	"2"	"Female"	"F"	"2018"	"2018"	1954093
	"2 years"	"2"	"Female"	"F"	"2019"	"2019"	1911720
	"2 years"	"2"	"Female"	"F"	"2020"	"2020"	1884480
	"2 years"	"2"	"Male"	"M"	"2011"	"2011"	2026825
	"2 years"	"2"	"Male"	"M"	"2012"	"2012"	2031978
	"2 years"	"2"	"Male"	"M"	"2013"	"2013"	2042931
	"2 years"	"2"	"Male"	"M"	"2014"	"2014"	2024415
	"2 years"	"2"	"Male"	"M"	"2015"	"2015"	2028128
	"2 years"	"2"	"Male"	"M"	"2016"	"2016"	2043478
	"2 years"	"2"	"Male"	"M"	"2017"	"2017"	2056068
	"2 years"	"2"	"Male"	"M"	"2018"	"2018"	2042649
	"2 years"	"2"	"Male"	"M"	"2019"	"2019"	2000102
	"2 years"	"2"	"Male"	"M"	"2020"	"2020"	1968545
	"3 years"	"3"	"Female"	"F"	"2011"	"2011"	2008226
	"3 years"	"3"	"Female"	"F"	"2012"	"2012"	1950689
	"3 years"	"3"	"Female"	"F"	"2013"	"2013"	1954798
	"3 years"	"3"	"Female"	"F"	"2014"	"2014"	1957614
	"3 years"	"3"	"Female"	"F"	"2015"	"2015"	1943688
	"3 years"	"3"	"Female"	"F"	"2016"	"2016"	1948151
	"3 years"	"3"	"Female"	"F"	"2017"	"2017"	1957426
	"3 years"	"3"	"Female"	"F"	"2018"	"2018"	1972152
	"3 years"	"3"	"Female"	"F"	"2019"	"2019"	1960386
	"3 years"	"3"	"Female"	"F"	"2020"	"2020"	1916691
	"3 years"	"3"	"Male"	"M"	"2011"	"2011"	2094203
	"3 years"	"3"	"Male"	"M"	"2012"	"2012"	2032318
	"3 years"	"3"	"Male"	"M"	"2013"	"2013"	2038041
	"3 years"	"3"	"Male"	"M"	"2014"	"2014"	2050238
	"3 years"	"3"	"Male"	"M"	"2015"	"2015"	2032589
	"3 years"	"3"	"Male"	"M"	"2016"	"2016"	2036834
	"3 years"	"3"	"Male"	"M"	"2017"	"2017"	2051634
	"3 years"	"3"	"Male"	"M"	"2018"	"2018"	2062901
	"3 years"	"3"	"Male"	"M"	"2019"	"2019"	2048651
	"3 years"	"3"	"Male"	"M"	"2020"	"2020"	2004835
	"4 years"	"4"	"Female"	"F"	"2011"	"2011"	2016024
	"4 years"	"4"	"Female"	"F"	"2012"	"2012"	2013623
	"4 years"	"4"	"Female"	"F"	"2013"	"2013"	1956684
	"4 years"	"4"	"Female"	"F"	"2014"	"2014"	1961637
	"4 years"	"4"	"Female"	"F"	"2015"	"2015"	1965133
	"4 years"	"4"	"Female"	"F"	"2016"	"2016"	1951686
	"4 years"	"4"	"Female"	"F"	"2017"	"2017"	1955855
	"4 years"	"4"	"Female"	"F"	"2018"	"2018"	1963901
	"4 years"	"4"	"Female"	"F"	"2019"	"2019"	1977745
	"4 years"	"4"	"Female"	"F"	"2020"	"2020"	1964865
	"4 years"	"4"	"Male"	"M"	"2011"	"2011"	2106228
	"4 years"	"4"	"Male"	"M"	"2012"	"2012"	2099226
	"4 years"	"4"	"Male"	"M"	"2013"	"2013"	2037855
	"4 years"	"4"	"Male"	"M"	"2014"	"2014"	2044770
	"4 years"	"4"	"Male"	"M"	"2015"	"2015"	2057652
	"4 years"	"4"	"Male"	"M"	"2016"	"2016"	2040555
	"4 years"	"4"	"Male"	"M"	"2017"	"2017"	2044539
	"4 years"	"4"	"Male"	"M"	"2018"	"2018"	2058006
